transport,scenario,n,c,ok,fail,rps,min_ms,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
grpc,allow,200,10,200,0,13298.8,0.161,0.729,0.440,1.852,4.368,4.413
grpc,deny,200,10,200,0,38666.7,0.105,0.247,0.207,0.507,0.671,0.807
rest,allow,200,10,200,0,2254.1,0.078,4.248,2.040,14.133,23.570,28.677
rest,deny,200,10,200,0,2750.6,0.070,2.882,0.993,14.534,21.859,35.164
kafka,allow,200,10,200,0,53575.6,0.073,0.171,0.138,0.392,0.444,0.596
kafka,deny,200,10,200,0,390588.4,0.002,0.007,0.005,0.016,0.032,0.062
nats,allow,200,10,200,0,28547.9,0.042,0.330,0.242,1.083,1.248,1.575
nats,deny,200,10,200,0,166211.0,0.003,0.008,0.004,0.010,0.084,0.088
