transport,scenario,n,c,ok,fail,rps,min_ms,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
grpc,allow,500,1,500,0,11099.7,0.059,0.088,0.085,0.108,0.176,0.636
grpc,allow,500,10,500,0,39356.2,0.085,0.249,0.215,0.553,0.703,0.845
grpc,allow,500,50,500,0,45161.3,0.161,1.040,1.038,1.566,1.956,9.420
grpc,allow,500,100,500,0,9004.6,0.710,10.890,4.922,46.608,51.944,54.643
rest,allow,500,1,500,0,13918.7,0.047,0.070,0.065,0.095,0.165,0.511
rest,allow,500,10,500,0,2832.4,0.069,3.241,1.532,11.722,21.944,41.043
rest,allow,500,50,500,0,1567.9,0.074,26.443,3.180,186.456,244.428,268.146
rest,allow,500,100,500,0,1460.6,0.085,31.857,8.475,122.720,193.123,340.916
